5; 4; 5; 3071; 3708
5; 5; 5; 3081; 3030
5; 5; 5; 5129; 5535
5; 5; 5; 4383; 3958
5; 5; 5; 1779; 1839
5; 5; 5; 1805; 1789
5; 5; 5; 4778; 4920
5; 5; 5; 1269; 1282
5; 5; 5; 3211; 2791
5; 5; 5; 13769; 14102
5; 5; 5; 7278; 7351
5; 5; 5; 2188; 2352
5; 5; 5; 5393; 5530
5; 5; 5; 5334; 4886
5; 5; 5; 2065; 2049
5; 5; 5; 6849; 6585
5; 5; 5; 2550; 2776
5; 5; 5; 1703; 1593
5; 5; 5; 2589; 2615
5; 5; 5; 1739; 1834
5; 5; 5; 6508; 6178
5; 5; 5; 2391; 2668
5; 5; 5; 5222; 5669
5; 5; 5; 4612; 4171
5; 5; 5; 5991; 5823
5; 5; 5; 1880; 1993
5; 5; 5; 6014; 6187
5; 5; 5; 11088; 11286
1; 0; 0; 0; 0
5; 5; 5; 5405; 5464
1; 0; 0; 0; 0
5; 5; 5; 2590; 2847
5; 5; 5; 2087; 2165
5; 5; 5; 3767; 3602
5; 5; 5; 5974; 5331
5; 5; 5; 1869; 1884
5; 5; 5; 1986; 1964
5; 5; 5; 3227; 3145
5; 5; 5; 3270; 3226
5; 5; 5; 10334; 10670
5; 5; 5; 8142; 8371
5; 5; 5; 4628; 4208
5; 5; 5; 2493; 2622
5; 5; 5; 4547; 4623
5; 5; 5; 5009; 5162
5; 5; 5; 2225; 2221
5; 5; 5; 3216; 3623
5; 5; 5; 2625; 2358
5; 5; 5; 4987; 5199
5; 5; 5; 1887; 1932
5; 5; 5; 3771; 3523
5; 5; 5; 8895; 8904
5; 5; 5; 6379; 6035
5; 5; 5; 3039; 3088
5; 5; 5; 3740; 3641
5; 5; 5; 3787; 3715
5; 5; 5; 1203; 1262
5; 5; 5; 1210; 1248
5; 5; 5; 9832; 10023
5; 5; 5; 6062; 5936
5; 5; 5; 4386; 4346
5; 5; 5; 6517; 6573
5; 5; 5; 5614; 6041
5; 5; 5; 6312; 5670
5; 5; 5; 3093; 3233
5; 5; 5; 2383; 2383
5; 5; 5; 3518; 3782
5; 5; 5; 5492; 5521
5; 5; 5; 3323; 3209
5; 5; 5; 2153; 1943
5; 5; 5; 7178; 7277
5; 5; 5; 4309; 4472
5; 5; 5; 4169; 3929
5; 5; 5; 4679; 4769
5; 5; 5; 1339; 1348
5; 5; 5; 4461; 4407
5; 5; 5; 3193; 3203
5; 5; 5; 3748; 3756
5; 5; 5; 10551; 10591
5; 5; 5; 7233; 7256
5; 5; 5; 1455; 1497
5; 5; 5; 6869; 6553
5; 5; 5; 5585; 5619
5; 5; 5; 5119; 5098
5; 5; 5; 2383; 2409
5; 5; 5; 1378; 1314
5; 5; 5; 12208; 12345
5; 5; 5; 4726; 4633
5; 5; 5; 3646; 3716
5; 5; 5; 6011; 5976
5; 5; 5; 1143; 1193
5; 5; 5; 3015; 2910
5; 5; 5; 6644; 6820
5; 5; 5; 4300; 4017
5; 5; 5; 3692; 4095
5; 5; 5; 3104; 3508
5; 5; 5; 5959; 5100
5; 5; 5; 1359; 1444
5; 5; 5; 4160; 4431
5; 5; 5; 8329; 8255
5; 5; 5; 3651; 3787
5; 5; 5; 4411; 4180
5; 5; 5; 2576; 2686
5; 5; 5; 1694; 1676
5; 5; 5; 1244; 1273
1; 0; 0; 0; 0
5; 5; 5; 4211; 4353
5; 5; 5; 5972; 5922
5; 5; 5; 3182; 3212
5; 5; 5; 1483; 1560
5; 5; 5; 3063; 3401
5; 5; 5; 4238; 4276
5; 5; 5; 7257; 6479
5; 5; 5; 4785; 4942
5; 5; 5; 1179; 1234
5; 5; 5; 1734; 1862
5; 5; 5; 13286; 13168
5; 5; 5; 1568; 1680
5; 5; 5; 5260; 5188
5; 5; 5; 1942; 1963
5; 5; 5; 1613; 1587
5; 5; 5; 6205; 6153
5; 5; 5; 5001; 4937
5; 5; 5; 2134; 2296
5; 5; 5; 4554; 4175
5; 5; 5; 1817; 1852
5; 5; 5; 937; 968
5; 5; 5; 10657; 10800
5; 5; 5; 1219; 1284
5; 5; 5; 6876; 6631
5; 5; 5; 5555; 5805
5; 5; 5; 1405; 1484
5; 5; 5; 5172; 5011
5; 5; 5; 2077; 2032
5; 5; 5; 3134; 3402
5; 5; 5; 3709; 3467
5; 5; 5; 5627; 5531
5; 5; 5; 1504; 1672
5; 5; 5; 7879; 7897
5; 5; 5; 3037; 2902
5; 5; 5; 5186; 5431
5; 5; 5; 1448; 1509
5; 5; 5; 6720; 6528
5; 5; 5; 1581; 1721
5; 5; 5; 2650; 2727
5; 5; 5; 3089; 3100
5; 5; 5; 3325; 3416
5; 5; 5; 4982; 4501
5; 5; 5; 5975; 5880
5; 5; 5; 2999; 3009
5; 5; 5; 3563; 4061
5; 5; 5; 7473; 7464
5; 5; 5; 9774; 9474
5; 5; 5; 3761; 4072
5; 5; 5; 3038; 2788
5; 5; 5; 3403; 3559
5; 5; 5; 12008; 11880
5; 5; 5; 10130; 10698
5; 5; 5; 9405; 9081
5; 5; 5; 3763; 3806
5; 5; 5; 7135; 7219
5; 5; 5; 7266; 6846
5; 5; 5; 5391; 5644
5; 5; 5; 4689; 4723
5; 5; 5; 10279; 10427
5; 5; 5; 3702; 3738
5; 5; 5; 7342; 7326
5; 5; 5; 1594; 1629
5; 5; 5; 2775; 2491
5; 5; 5; 3329; 3370
5; 5; 5; 1402; 1384
5; 5; 5; 3461; 3438
5; 5; 5; 2143; 2105
5; 5; 5; 2205; 2340
5; 5; 5; 1438; 1469
5; 5; 5; 3450; 3233
5; 5; 5; 3047; 2926
5; 5; 5; 3164; 3602
5; 5; 5; 4581; 4687
5; 5; 5; 4723; 4296
1; 0; 0; 0; 0
1; 0; 0; 0; 0
5; 5; 5; 3349; 3462
5; 5; 5; 2426; 2620
5; 5; 5; 3603; 3020
5; 5; 5; 3796; 4313
5; 5; 5; 7811; 7523
5; 5; 5; 2783; 2860
5; 5; 5; 2465; 2631
5; 5; 5; 9453; 9245
5; 5; 5; 2487; 2650
5; 5; 5; 9891; 9864
5; 5; 5; 2532; 2321
5; 5; 5; 4389; 4600
5; 5; 5; 1756; 1711
5; 5; 5; 5135; 5746
5; 5; 5; 16043; 15871
5; 5; 5; 6939; 6859
5; 5; 5; 5989; 5497
5; 5; 5; 4541; 4578
5; 5; 5; 5100; 5069
5; 5; 5; 5604; 5733
5; 5; 5; 2592; 2583
5; 5; 5; 7001; 7093
5; 5; 5; 5054; 4809
5; 5; 5; 6056; 6610
5; 5; 5; 7231; 6919
5; 5; 5; 3522; 3588
5; 5; 5; 11518; 11246
5; 5; 5; 1563; 1673
5; 5; 5; 3412; 3459
5; 5; 5; 2584; 2406
5; 5; 5; 2847; 2834
5; 5; 5; 6081; 6169
5; 5; 5; 11065; 10921
5; 5; 5; 9148; 9115
5; 5; 5; 2148; 2189
5; 5; 5; 2496; 2548
5; 5; 5; 3009; 3036
5; 5; 5; 3849; 4206
5; 5; 5; 4384; 4007
5; 5; 5; 7679; 7654
5; 5; 5; 1527; 1646
5; 5; 5; 4672; 4856
5; 5; 5; 4772; 4358
5; 5; 5; 1168; 1196
5; 5; 5; 1928; 1995
5; 5; 5; 8578; 8573
5; 5; 5; 3286; 3500
5; 5; 5; 6500; 6537
5; 5; 5; 6589; 6935
5; 5; 5; 8494; 7765
5; 5; 5; 1663; 1792
5; 5; 5; 3526; 3849
5; 5; 5; 1907; 1923
5; 5; 5; 4533; 4255
5; 5; 5; 10794; 10792
5; 5; 5; 1986; 2210
5; 5; 5; 2792; 2985
5; 5; 5; 3097; 3068
5; 5; 5; 4035; 3655
5; 5; 5; 3462; 3753
5; 5; 5; 2017; 1861
5; 5; 5; 8284; 8400
5; 5; 5; 1409; 1422
5; 5; 5; 2211; 2174
5; 5; 5; 1813; 1898
5; 5; 5; 5301; 5149
5; 5; 5; 2140; 2029
5; 5; 5; 2500; 2490
5; 5; 5; 4972; 4967
5; 5; 5; 2770; 2915
5; 5; 5; 4964; 4929
5; 5; 5; 6164; 6266
5; 5; 5; 1676; 1720
5; 5; 5; 1492; 1527
5; 5; 5; 7814; 7519
5; 5; 5; 6986; 7196
5; 5; 5; 4442; 4288
5; 5; 5; 6126; 6425
5; 5; 5; 9981; 10632
1; 0; 0; 0; 0
5; 5; 5; 7524; 7100
5; 5; 5; 2158; 2276
5; 5; 5; 7016; 6536
5; 5; 5; 2320; 2515
5; 5; 5; 7070; 6541
5; 5; 5; 5188; 5322
5; 5; 5; 2007; 2005
5; 5; 5; 1670; 1693
5; 5; 5; 4524; 4469
5; 5; 5; 4531; 4532
5; 5; 5; 11407; 11782
5; 5; 5; 4545; 4519
5; 5; 5; 13162; 12915
5; 5; 5; 4270; 4363
5; 5; 5; 3552; 3505
5; 5; 5; 4347; 4117
5; 5; 5; 6873; 7048
5; 5; 5; 3011; 3044
5; 5; 5; 4681; 4640
5; 5; 5; 3276; 3404
5; 5; 5; 5419; 5749
5; 5; 5; 3878; 3727
5; 5; 5; 7485; 7087
5; 5; 5; 5456; 5630
5; 5; 5; 13632; 13670
5; 5; 5; 4847; 4599
5; 5; 5; 6153; 6319
5; 5; 5; 3006; 3084
5; 5; 5; 9152; 9147
5; 5; 5; 2500; 2297
5; 5; 5; 1661; 1796
5; 5; 5; 3664; 3727
5; 5; 5; 4695; 4759
5; 5; 5; 2063; 2049
5; 5; 5; 9070; 9176
5; 5; 5; 12817; 12828
5; 5; 5; 3570; 3399
5; 5; 5; 3223; 3034
5; 5; 5; 2216; 2323
5; 5; 5; 2017; 2206
5; 5; 5; 4032; 3750
5; 5; 5; 2185; 2254
5; 5; 5; 4677; 5436
5; 5; 5; 5902; 5235
5; 5; 5; 2911; 2946
5; 5; 5; 6599; 6870
5; 5; 5; 7368; 7388
5; 5; 5; 5796; 5959
